station,date,decimal_year,mjd,e_mm,n_mm,u_mm,sig_e,sig_n,sig_u,e_vel_mmday,n_vel_mmday,u_vel_mmday,h_vel_mmday,zscore_e,zscore_n,zscore_u,anomaly_e,anomaly_n,anomaly_u,anomaly_any,risk_level,risk_score,lat,lon
BAKO,1997-07-01,1997.4976,50630,844.8,-338.257,149.398,1.695,1.327,6.99,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,-6.491054,106.848909
BAKO,1997-07-02,1997.5003,50631,833.868,-347.129,136.085,1.739,1.323,7.233,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,-6.491054,106.848909
BAKO,1997-10-12,1997.7796,50733,852.324,-351.405,194.724,1.523,1.245,6.546,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,-6.491054,106.848909
BAKO,1997-10-13,1997.7823,50734,855.276,-351.625,194.895,1.552,1.322,7.077,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,-6.491054,106.848909
BAKO,1997-10-14,1997.7851,50735,851.794,-356.803,196.699,1.586,1.261,6.761,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,-6.491054,106.848909
BAKO,1997-10-15,1997.7878,50736,850.252,-352.641,218.974,1.559,1.262,6.744,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,-6.491054,106.848909
BAKO,1997-10-16,1997.7906,50737,859.311,-345.41,204.245,1.865,1.391,7.2,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,-6.491054,106.848909
BAKO,1997-10-17,1997.7933,50738,849.364,-354.034,198.57,1.678,1.334,7.493,1.7793,-1.3182,9.0424,2.2144,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,MEDIUM,44.8,-6.491054,106.848909
BAKO,1997-10-18,1997.796,50739,849.716,-349.535,193.801,1.555,1.241,6.622,1.2702,-0.0855,5.6377,1.2731,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,MEDIUM,27.1,-6.491054,106.848909
BAKO,1998-03-01,1998.1629,50873,897.993,-388.162,106.563,1.449,1.222,5.982,3.4959,-2.7537,-7.5204,4.4502,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,MEDIUM,58.2,-6.491054,106.848909
