station,date,decimal_year,mjd,e_mm,n_mm,u_mm,sig_e,sig_n,sig_u,e_vel_mmday,n_vel_mmday,u_vel_mmday,h_vel_mmday,zscore_e,zscore_n,zscore_u,anomaly_e,anomaly_n,anomaly_u,anomaly_any,risk_level,risk_score,lat,lon
CUSV,2008-05-26,2008.3997,54612,756.551,746.718,285.809,0.909,0.734,3.407,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,13.735915,100.533921
CUSV,2008-10-21,2008.8049,54760,768.09,743.058,272.499,0.91,0.706,3.321,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,13.735915,100.533921
CUSV,2008-10-22,2008.8077,54761,769.078,743.275,274.534,0.909,0.706,3.337,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,13.735915,100.533921
CUSV,2008-10-23,2008.8104,54762,770.316,744.915,270.717,0.884,0.7,3.298,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,13.735915,100.533921
CUSV,2008-10-24,2008.8131,54763,768.825,744.596,270.232,0.9,0.703,3.262,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,13.735915,100.533921
CUSV,2008-10-25,2008.8159,54764,769.427,745.862,272.425,0.964,0.738,3.58,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,13.735915,100.533921
CUSV,2008-10-26,2008.8186,54765,767.767,743.917,269.228,0.88,0.678,3.231,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,13.735915,100.533921
CUSV,2008-10-27,2008.8214,54766,769.252,744.304,271.385,0.897,0.702,3.327,1.0339,-0.0614,-1.4778,1.0357,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,12.7,13.735915,100.533921
CUSV,2008-10-28,2008.8241,54767,767.605,745.166,266.798,0.924,0.699,3.338,-0.1139,0.2163,-0.6896,0.2445,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.0,13.735915,100.533921
CUSV,2008-10-29,2008.8268,54768,767.954,743.113,273.278,0.928,0.698,3.307,-0.2595,-0.0321,-0.3348,0.2615,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,3.1,13.735915,100.533921
