station,date,decimal_year,mjd,e_mm,n_mm,u_mm,sig_e,sig_n,sig_u,e_vel_mmday,n_vel_mmday,u_vel_mmday,h_vel_mmday,zscore_e,zscore_n,zscore_u,anomaly_e,anomaly_n,anomaly_u,anomaly_any,risk_level,risk_score,lat,lon
MYVA,2006-09-01,2006.6667,53979,110.945,84.185,609.13,1.051,1.516,5.179,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,65.64232,343.108647
MYVA,2006-09-02,2006.6694,53980,112.646,81.191,606.826,0.907,1.253,4.322,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,65.64232,343.108647
MYVA,2006-09-03,2006.6721,53981,111.668,82.563,605.963,0.85,1.189,3.921,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,65.64232,343.108647
MYVA,2006-09-04,2006.6749,53982,112.198,82.528,596.613,1.245,1.656,5.638,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,65.64232,343.108647
MYVA,2006-09-05,2006.6776,53983,110.871,82.575,609.452,0.953,1.337,4.637,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,65.64232,343.108647
MYVA,2006-09-06,2006.6804,53984,112.041,83.389,605.135,0.841,1.197,4.07,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,65.64232,343.108647
MYVA,2006-09-07,2006.6831,53985,111.906,82.677,602.722,0.909,1.304,4.246,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,65.64232,343.108647
MYVA,2006-09-08,2006.6858,53986,112.111,84.63,614.879,0.85,1.146,3.82,0.0506,0.1556,0.3581,0.1636,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.4,65.64232,343.108647
MYVA,2006-09-09,2006.6886,53987,112.795,82.939,608.539,0.761,1.074,3.654,0.0423,0.2837,0.8402,0.2868,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.8,65.64232,343.108647
MYVA,2006-09-10,2006.6913,53988,112.475,81.6,608.782,0.867,1.189,4.116,0.1455,0.0091,1.1099,0.1458,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.5,65.64232,343.108647
MYVA,2006-09-11,2006.694,53989,111.877,81.906,602.979,0.9,1.273,4.25,0.0981,-0.1027,0.7569,0.142,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,3.4,65.64232,343.108647
MYVA,2006-09-12,2006.6968,53990,110.53,82.414,608.424,0.797,1.127,3.9,-0.0097,-0.1603,-0.073,0.1606,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,1.5,65.64232,343.108647
MYVA,2006-09-13,2006.6995,53991,111.034,84.517,602.363,0.842,1.212,3.995,-0.178,-0.0349,-0.3137,0.1814,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.4,65.64232,343.108647
MYVA,2006-09-14,2006.7023,53992,111.41,83.466,601.393,0.817,1.189,3.972,-0.1935,0.0439,-0.9289,0.1984,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.4,65.64232,343.108647
MYVA,2006-09-15,2006.705,53993,112.164,83.457,609.357,0.762,1.07,3.481,-0.1455,0.0438,-1.05,0.152,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.4,65.64232,343.108647
MYVA,2006-09-16,2006.7077,53994,110.886,82.199,606.452,0.751,1.053,3.506,-0.1883,0.1296,-0.2685,0.2286,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.6,65.64232,343.108647
MYVA,2006-09-17,2006.7105,53995,109.836,84.649,606.524,0.861,1.241,4.179,-0.2161,0.2963,0.0403,0.3667,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,3.1,65.64232,343.108647
MYVA,2006-09-18,2006.7132,53996,111.219,85.049,605.669,1.553,2.076,6.591,-0.0925,0.3121,0.3519,0.3255,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,3.7,65.64232,343.108647
MYVA,2006-09-19,2006.7159,53997,111.548,83.294,603.296,1.064,1.507,4.805,0.0244,0.1323,-0.0819,0.1345,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,1.3,65.64232,343.108647
MYVA,2006-09-20,2006.7187,53998,110.441,85.851,604.083,0.75,1.056,3.499,-0.0875,0.187,0.1258,0.2064,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.0,65.64232,343.108647
MYVA,2006-09-21,2006.7214,53999,109.609,83.971,606.021,0.758,1.053,3.517,-0.2125,0.2285,-0.0512,0.312,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.6,65.64232,343.108647
MYVA,2006-09-22,2006.7242,54000,108.263,82.863,605.008,0.755,1.063,3.639,-0.3756,0.078,-0.5035,0.3836,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.6,65.64232,343.108647
MYVA,2006-09-23,2006.7269,54001,109.447,83.54,603.485,0.835,1.14,3.903,-0.2842,-0.0026,-0.3155,0.2842,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,3.2,65.64232,343.108647
MYVA,2006-09-24,2006.7296,54002,110.387,81.19,604.619,1.051,1.603,5.219,-0.1868,-0.4158,-0.2045,0.4559,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.3,65.64232,343.108647
MYVA,2006-09-25,2006.7324,54003,108.752,83.061,596.651,0.807,1.157,3.713,-0.3262,-0.3866,-0.7062,0.5059,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,6.2,65.64232,343.108647
MYVA,2006-09-26,2006.7351,54004,109.706,82.963,604.078,0.86,1.217,3.973,-0.2122,-0.2849,-0.4454,0.3552,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.2,65.64232,343.108647
MYVA,2006-09-27,2006.7379,54005,109.278,84.035,604.021,0.788,1.118,3.704,-0.0625,-0.2322,-0.4058,0.2405,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,3.1,65.64232,343.108647
MYVA,2006-09-28,2006.7406,54006,108.916,83.067,611.63,0.779,1.092,3.627,-0.0075,-0.0039,0.335,0.0085,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,1.1,65.64232,343.108647
