station,date,decimal_year,mjd,e_mm,n_mm,u_mm,sig_e,sig_n,sig_u,e_vel_mmday,n_vel_mmday,u_vel_mmday,h_vel_mmday,zscore_e,zscore_n,zscore_u,anomaly_e,anomaly_n,anomaly_u,anomaly_any,risk_level,risk_score,lat,lon
NTUS,1997-08-30,1997.6619,50690,-735.506,401.51,410.345,1.534,1.235,6.323,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,1.345802,103.679955
NTUS,1997-08-31,1997.6646,50691,-735.69,399.265,410.686,1.334,1.224,6.92,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,1.345802,103.679955
NTUS,1997-09-01,1997.6674,50692,-738.928,401.904,406.294,1.859,1.44,8.067,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,1.345802,103.679955
NTUS,1997-09-02,1997.6701,50693,-737.783,399.942,402.657,1.324,1.448,6.916,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,1.345802,103.679955
NTUS,1997-09-03,1997.6728,50694,-735.933,401.188,410.995,1.354,1.349,6.672,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,1.345802,103.679955
NTUS,1997-09-04,1997.6756,50695,-737.003,400.334,417.009,1.377,1.295,6.539,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,1.345802,103.679955
NTUS,1997-09-05,1997.6783,50696,-735.282,397.744,422.234,1.36,1.306,6.163,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,1.345802,103.679955
NTUS,1997-09-06,1997.681,50697,-739.783,402.616,397.935,1.356,1.341,6.397,-0.2414,-0.0396,0.1352,0.2446,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.4,1.345802,103.679955
NTUS,1997-09-08,1997.6865,50699,-735.858,398.405,420.538,1.447,1.348,6.676,0.0117,-0.118,1.0942,0.1185,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.2,1.345802,103.679955
NTUS,1997-09-11,1997.6947,50702,-728.137,401.195,423.845,1.761,1.29,7.805,0.8968,-0.1304,2.1227,0.9063,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,13.6,1.345802,103.679956
NTUS,1997-09-12,1997.6975,50703,-731.468,405.308,410.268,1.668,1.235,6.4,0.9776,0.4367,1.2359,1.0707,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,12.3,1.345802,103.679956
NTUS,1997-09-13,1997.7002,50704,-721.475,400.587,404.571,1.483,1.294,6.495,1.8362,0.3191,-0.61,1.8637,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,16.7,1.345802,103.679956
NTUS,1997-09-14,1997.7029,50705,-728.691,399.433,410.914,1.456,1.217,6.509,1.9034,0.2235,-1.0795,1.9165,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,18.6,1.345802,103.679956
NTUS,1997-09-15,1997.7057,50706,-730.18,401.605,411.296,1.5,1.284,6.618,1.5594,0.2592,-0.8708,1.5808,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,15.3,1.345802,103.679956
NTUS,1997-09-16,1997.7084,50707,-733.543,400.589,423.316,1.503,1.426,7.202,0.9572,-0.0976,1.0353,0.9621,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,10.8,1.345802,103.679955
NTUS,1997-09-17,1997.7112,50708,-733.802,399.738,412.002,1.607,1.332,6.824,-0.1904,-0.071,-0.6306,0.2032,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,3.5,1.345802,103.679955
NTUS,1997-09-18,1997.7139,50709,-727.09,400.685,415.306,1.338,1.222,6.506,-0.5004,-0.3481,0.0656,0.6096,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,5.1,1.345802,103.679956
NTUS,1997-09-19,1997.7166,50710,-735.572,397.799,415.72,1.493,1.231,5.563,-0.8988,-0.6211,1.2753,1.0925,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,12.6,1.345802,103.679955
NTUS,1997-09-20,1997.7194,50711,-731.899,397.307,424.225,1.311,1.364,6.688,-1.171,-0.4136,1.9324,1.2419,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,15.7,1.345802,103.679956
NTUS,1997-09-21,1997.7221,50712,-731.803,397.743,405.031,1.527,1.265,6.388,-0.3542,-0.485,0.0474,0.6006,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.9,1.345802,103.679956
NTUS,1997-09-22,1997.7248,50713,-734.401,399.562,410.322,1.563,1.244,6.4,-0.2812,-0.4608,-0.7281,0.5398,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,6.5,1.345802,103.679955
NTUS,1997-09-23,1997.7276,50714,-732.959,401.289,412.921,1.381,1.23,5.697,-0.1116,-0.0631,-1.232,0.1282,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.7,1.345802,103.679955
NTUS,1997-09-24,1997.7303,50715,-737.577,399.629,405.424,1.549,1.458,7.356,-0.621,0.095,-1.1114,0.6282,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,8.4,1.345802,103.679955
NTUS,1997-09-25,1997.7331,50716,-736.038,396.409,415.671,1.493,1.417,8.446,-0.9338,-0.0835,-0.9232,0.9375,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,10.3,1.345802,103.679955
NTUS,1997-09-26,1997.7358,50717,-726.343,396.713,414.56,1.651,1.39,7.294,0.3337,-0.056,-0.5609,0.3383,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.4,1.345802,103.679956
NTUS,1997-09-27,1997.7385,50718,-734.811,398.655,408.201,1.9,1.734,8.831,-0.0311,-0.0813,-0.6663,0.0871,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.7,1.345802,103.679955
NTUS,1997-09-28,1997.7413,50719,-735.067,393.401,402.473,1.4,1.294,6.177,-0.0418,-0.6176,-0.1589,0.619,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,5.4,1.345802,103.679955
NTUS,1997-09-29,1997.744,50720,-735.014,398.037,411.223,1.503,1.229,6.079,0.0376,-0.6278,-0.4609,0.6289,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,6.4,1.345802,103.679955
NTUS,1997-09-30,1997.7467,50721,-732.812,396.348,404.815,1.599,1.377,7.069,0.0987,-0.5908,-0.8774,0.599,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,7.4,1.345802,103.679955
NTUS,1997-10-01,1997.7495,50722,-736.631,399.769,407.119,1.395,1.241,6.582,-0.0419,-0.0072,-0.6923,0.0425,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.4,1.345802,103.679955
NTUS,1997-10-02,1997.7522,50723,-736.04,398.915,403.311,1.48,1.334,6.802,-0.5405,0.3635,-1.4897,0.6514,0.619,0.254,1.249,NORMAL,NORMAL,NORMAL,NO,LOW,9.7,1.345802,103.679955
NTUS,1997-10-03,1997.755,50724,-731.924,396.669,410.26,1.662,1.46,7.108,-0.5679,0.2191,-0.5598,0.6087,0.416,1.223,0.162,NORMAL,NORMAL,NORMAL,NO,LOW,6.5,1.345802,103.679956
NTUS,1997-10-04,1997.7577,50725,-729.435,396.543,413.251,1.7,1.522,7.231,0.553,0.0906,0.6292,0.5604,1.009,1.212,0.28,NORMAL,NORMAL,NORMAL,NO,LOW,6.4,1.345802,103.679956
NTUS,1997-10-05,1997.7604,50726,-728.609,403.18,420.246,1.678,1.498,7.428,0.909,0.7273,1.7509,1.1641,1.157,1.766,1.286,NORMAL,NORMAL,NORMAL,NO,LOW,14.6,1.345802,103.679956
NTUS,1997-10-06,1997.7632,50727,-733.395,392.023,402.562,1.678,1.402,7.275,0.6911,-0.2365,0.4985,0.7304,0.142,3.012,1.433,NORMAL,ANOMALY,NORMAL,YES,MEDIUM,27.3,1.345802,103.679955
NTUS,1997-10-10,1997.7741,50731,-736.762,397.247,412.187,1.409,1.311,6.717,0.1585,-0.2353,0.9835,0.2837,1.037,0.628,0.044,NORMAL,NORMAL,NORMAL,NO,LOW,5.2,1.345802,103.679955
NTUS,1997-10-11,1997.7769,50732,-729.544,395.894,393.914,1.569,1.329,7.015,0.5049,-0.5091,-0.7637,0.717,0.831,1.09,2.598,NORMAL,NORMAL,NORMAL,NO,LOW,8.0,1.345802,103.679956
NTUS,1997-10-13,1997.7823,50734,-723.811,400.104,396.486,1.423,1.478,7.258,0.8421,-0.0547,-1.7902,0.8439,2.261,0.484,1.964,NORMAL,NORMAL,NORMAL,NO,LOW,12.1,1.345802,103.679956
