station,date,decimal_year,mjd,e_mm,n_mm,u_mm,sig_e,sig_n,sig_u,e_vel_mmday,n_vel_mmday,u_vel_mmday,h_vel_mmday,zscore_e,zscore_n,zscore_u,anomaly_e,anomaly_n,anomaly_u,anomaly_any,risk_level,risk_score,lat,lon
SAMP,1997-10-12,1997.7796,50733,80.092,394.464,102.677,1.052,0.964,4.145,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,3.621611,98.714717
SAMP,1997-10-13,1997.7823,50734,79.881,394.768,105.125,1.138,1.029,4.484,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,3.621611,98.714717
SAMP,1997-10-14,1997.7851,50735,78.372,388.736,98.707,1.051,0.946,4.157,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,3.621611,98.714717
SAMP,1997-10-15,1997.7878,50736,74.259,393.45,108.473,1.046,0.946,4.072,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,3.621611,98.714717
SAMP,1997-10-16,1997.7906,50737,81.674,394.449,100.248,1.158,0.999,4.433,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,3.621611,98.714717
SAMP,1997-10-17,1997.7933,50738,69.703,388.776,100.679,1.076,0.963,4.298,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,3.621611,98.714717
SAMP,1997-10-18,1997.796,50739,80.217,394.204,99.017,1.103,0.997,4.263,,,,,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,0,3.621611,98.714717
SAMP,1998-03-06,1998.1766,50878,94.568,395.282,69.498,1.322,1.125,5.331,1.005,0.0479,-3.156,1.0061,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,17.5,3.621611,98.714717
SAMP,1998-03-10,1998.1875,50882,89.406,391.076,103.788,1.396,1.222,5.65,1.8281,0.0414,-2.1826,1.8285,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,21.2,3.621611,98.714717
SAMP,1998-08-31,1998.6639,51056,110.127,402.754,63.593,1.292,1.157,5.437,4.1335,1.1212,-4.323,4.2829,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,MEDIUM,47.2,3.621611,98.714718
